name,price,sku,link
,"₨1,300.00",,https://ziaulquran.com/shop/page/11/?add-to-cart=9034
,"₨1,325.00",,https://ziaulquran.com/shop/page/11/?add-to-cart=9092
,"₨1,600.00",,https://ziaulquran.com/shop/page/11/?add-to-cart=9094
,₨810.00,,https://ziaulquran.com/shop/page/11/?add-to-cart=9097
,₨470.00,,https://ziaulquran.com/shop/page/11/?add-to-cart=10676
,"₨5,450.00",,https://ziaulquran.com/shop/page/11/?add-to-cart=10678
,₨800.00,,https://ziaulquran.com/shop/page/11/?add-to-cart=10680
,₨850.00,,https://ziaulquran.com/shop/page/11/?add-to-cart=11864
,₨210.00,,https://ziaulquran.com/shop/page/11/?add-to-cart=10684
,₨220.00,,https://ziaulquran.com/shop/page/11/?add-to-cart=10686
,₨250.00,,https://ziaulquran.com/shop/page/11/?add-to-cart=10688
,"₨1,990.00",,https://ziaulquran.com/shop/page/11/?add-to-cart=9088
,"₨1,875.00",,https://ziaulquran.com/shop/page/11/?add-to-cart=9165
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,"₨1,590.00",,https://ziaulquran.com/shop/page/12/?add-to-cart=9166
,₨925.00,,https://ziaulquran.com/shop/page/12/?add-to-cart=9041
,₨935.00,,https://ziaulquran.com/shop/page/12/?add-to-cart=9043
,"₨1,990.00",,https://ziaulquran.com/shop/page/12/?add-to-cart=9045
,"₨1,250.00",,https://ziaulquran.com/shop/page/12/?add-to-cart=9048
,"₨1,590.00",,https://ziaulquran.com/shop/page/12/?add-to-cart=9049
,"₨1,975.00",,https://ziaulquran.com/shop/page/12/?add-to-cart=9050
,"₨1,450.00",,https://ziaulquran.com/shop/page/12/?add-to-cart=9053
,"₨2,100.00",,https://ziaulquran.com/shop/page/12/?add-to-cart=9055
,"₨5,325.00",,https://ziaulquran.com/shop/page/12/?add-to-cart=9057
,"₨5,690.00",,https://ziaulquran.com/shop/page/12/?add-to-cart=9059
,"₨3,685.00",,https://ziaulquran.com/shop/page/12/?add-to-cart=9060
,"₨3,090.00",,https://ziaulquran.com/shop/page/12/?add-to-cart=9062
,"₨1,450.00",,https://ziaulquran.com/shop/page/12/?add-to-cart=9064
,"₨1,850.00",,https://ziaulquran.com/shop/page/12/?add-to-cart=9065
,"₨2,630.00",,https://ziaulquran.com/shop/page/12/?add-to-cart=9066
